ALA,ARE,BAX,CAM,GON,MEL,OBL,OVA,WIL,ALP,VIM,ARO.SAB,Rockiness,Sandiness,VallyBotFlat,PPTann,Loaminess,cvTemp,T0,latitude,longitude
0,0,0,0,0,0,0,0,1,1,0,0,60,1,0,785,0,142,6124.01,-37.4269,142.4574
0,0,0,0,0,0,1,0,1,1,0,0,75,1,0,785,0,142,6124.01,-37.4269,142.4574
0,0,1,0,0,0,0,0,1,1,0,0,70,1,0,780,0,142,3252.96,-37.4263,142.4577
0,0,1,0,0,0,0,0,1,0,0,0,40,1,0,778,0,142,1636.63,-37.4269,142.4574
0,0,1,0,0,0,1,0,0,0,0,0,15,1,0,772,0,142,1352.08,-37.4259,142.4584
0,0,0,0,0,0,0,0,1,1,0,0,80,1,0,841,0,142,5018.48,-37.4224,142.459
0,0,1,0,0,0,1,0,0,0,0,0,80,1,0,846,0,143,4874.83,-37.4224,142.4587
0,0,1,0,0,0,1,0,1,0,0,0,40,1,0,848,0,143,10145.4,-37.4228,142.4581
0,0,1,0,0,0,1,0,1,0,0,0,20,1,0,845,0,142,8773.88,-37.4236,142.4578
0,0,1,0,0,0,1,0,1,0,0,0,10,1,0,830,0,142,672.69,-37.4244,142.4577
0,0,1,0,0,0,1,0,1,0,0,0,90,1,0,846,0,145,2816.11,-37.3567,142.4958
0,0,1,0,0,0,1,0,1,0,0,0,60,1,0,805,0,145,6905.14,-37.3589,142.4942
0,0,0,0,0,0,1,0,1,0,0,0,40,1,0,807,0,145,1543.46,-37.3575,142.4947
0,0,0,0,0,0,1,0,0,1,0,0,90,1,0,840,0,145,4329.83,-37.3557,142.4965
1,0,0,0,0,0,0,0,1,1,0,0,70,1,0,834,0,145,4093.07,-37.3559,142.4965
0,0,1,0,0,0,1,0,0,0,0,0,60,1,0,855,0,145,2840.64,-37.3564,142.4959
0,0,0,0,0,0,1,0,1,0,0,0,20,1,0,846,0,145,2816.11,-37.3567,142.4958
0,0,0,0,0,0,0,0,0,1,0,0,90,1,0,794,0,140,3054.85,-37.4907,142.4004
0,0,0,0,0,0,0,0,1,1,0,0,85,1,0,782,0,139,3679.44,-37.4906,142.3999
1,0,1,0,0,0,0,0,0,1,0,0,60,1,0,786,0,139,10762.99,-37.4908,142.3994
0,0,0,0,0,0,0,0,1,1,0,0,70,1,0,786,0,139,10762.99,-37.4908,142.3994
0,0,1,0,0,0,0,0,1,0,0,0,90,1,0,779,0,136,9846.55,-37.572,142.3645
0,0,1,0,0,0,0,0,1,0,0,0,95,1,0,771,0,136,9374.69,-37.5718,142.365
0,0,1,0,0,0,1,0,1,0,0,0,70,1,0.91,766,0,136,10465.01,-37.5716,142.3652
0,0,1,0,0,0,1,0,0,0,0,0,50,1,0,760,0,136,9008.95,-37.5714,142.3656
0,0,1,0,0,0,1,0,1,0,0,0,15,1,0,760,0,136,8507.52,-37.5709,142.3666
0,0,1,0,0,0,0,0,1,0,0,0,10,1,0,750,0,136,6995.59,-37.5696,142.3671
0,0,1,0,0,0,1,0,1,0,0,1,10,1,0,746,0,136,2882.16,-37.5679,142.3673
0,0,1,0,0,0,1,0,1,0,0,1,10,1,0,747,0,136,2606.12,-37.5676,142.3673
0,0,0,0,0,0,0,0,0,1,0,0,40,1,0,919,0,136,4441.8,-37.5926,142.3565
0,0,0,0,0,0,0,0,0,1,0,0,80,1,0,913,0,136,4500.27,-37.5925,142.3564
0,0,0,0,0,0,0,0,0,1,0,0,80,1,0,908,0,136,4996.32,-37.5923,142.3565
0,0,0,0,0,0,0,0,0,1,0,0,80,1,0,908,0,136,4996.32,-37.5923,142.3565
0,0,0,0,0,0,0,0,0,1,0,0,90,1,0,917,0,151,2394.71,-37.1606,142.5147
0,0,0,0,0,0,0,0,0,1,0,0,95,1,0,956,0,151,2859.09,-37.1609,142.5138
1,0,1,0,0,0,0,0,0,0,0,0,30,1,0,956,0,151,542.64,-37.1613,142.5135
1,0,1,0,0,0,0,0,0,0,0,0,20,1,0,951,0,151,701.32,-37.1633,142.5121
0,0,0,0,0,0,0,0,0,1,0,0,80,1,0,1288,0,148,3315.06,-37.3086,142.5984
0,0,0,0,0,0,0,0,0,1,0,0,85,1,0,1296,0,148,1221.63,-37.3077,142.5993
0,0,0,0,0,0,0,0,0,1,0,0,90,1,0,1335,0,148,2183,-37.306,142.6004
0,0,0,0,0,0,0,0,0,1,0,0,80,1,0,1297,0,148,2149.21,-37.3051,142.6009
0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,1315,1,149,210.84,-37.2963,142.6042
0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,1344,1,149,1484.1,-37.2958,142.6034
0,0,0,0,0,0,0,0,0,0,0,0,50,1,0,1345,0,149,1954.84,-37.2956,142.6031
0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,1348,0,149,411.64,-37.2951,142.6027
1,0,1,0,0,0,1,0,0,0,0,0,60,1,0,937,0,154,3769.8,-37.0711,142.4971
1,0,1,0,0,0,0,0,0,0,0,0,95,1,1.44,965,0,154,9100.04,-37.0762,142.4995
1,0,0,0,0,0,0,0,0,0,0,0,20,1,0,991,0,154,124.43,-37.0816,142.502
1,0,1,0,0,0,0,0,0,0,0,0,10,1,0,981,0,153,863.68,-37.0857,142.5027
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,834,0,151,1315.89,-37.1515,142.4398
1,0,0,0,0,0,1,0,0,0,0,0,10,1,0,838,0,151,1278.31,-37.1511,142.4396
1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,805,0,150,1445.16,-37.1615,142.4436
0,0,1,0,0,0,0,0,0,0,0,0,90,1,0,755,0,149,3926.05,-37.1779,142.3963
0,0,1,1,0,0,0,0,0,0,0,0,85,0,0,746,0,149,10322.29,-37.1773,142.3952
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,750,0,149,10390.1,-37.1776,142.3949
0,0,0,0,1,0,0,0,0,0,0,0,95,1,0,653,0,158,821.05,-36.8925,142.3818
0,1,0,0,1,0,0,0,0,0,0,0,85,1,0,621,0,158,976.64,-36.8918,142.3829
0,0,0,0,1,0,0,0,0,0,0,0,80,1,0,621,0,158,976.64,-36.8918,142.3829
0,0,0,0,1,0,0,0,0,0,0,0,30,1,0,607,0,158,1044.92,-36.891,142.3831
0,0,1,0,1,0,0,0,0,0,0,0,5,0,0,619,0,158,8433.85,-36.8898,142.3831
0,0,1,0,0,0,1,0,0,0,0,0,5,1,0,751,0,146,3758.07,-37.3001,142.4833
0,0,1,0,0,0,1,0,0,0,0,0,10,1,0,747,0,146,2860.29,-37.3,142.4829
0,0,1,0,0,0,1,0,0,0,0,0,5,1,0,745,0,146,4676.91,-37.2997,142.4824
0,0,1,0,0,0,1,0,0,0,0,0,10,1,0,740,0,146,4484.38,-37.2996,142.4817
0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,752,0,146,1449,-37.2802,142.4936
0,0,1,0,0,0,1,0,0,0,0,0,5,1,0,756,0,146,1402.43,-37.2802,142.4943
0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,748,0,146,1554.77,-37.2802,142.4931
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,747,0,146,1760.41,-37.2801,142.4926
0,0,1,0,0,0,0,0,0,0,0,0,95,1,0,904,0,148,1178.41,-37.2737,142.5012
0,0,1,0,0,0,0,0,0,0,0,0,85,1,0,890,0,148,1880.3,-37.2738,142.5006
0,0,1,0,0,0,0,0,0,0,0,0,90,1,0,880,0,148,1946.38,-37.2738,142.5001
0,0,1,0,0,0,0,0,0,0,0,0,90,1,0,864,0,148,3002.08,-37.2737,142.4991
1,0,1,0,0,0,0,0,0,0,0,0,80,1,0,850,0,147,9083.51,-37.2739,142.498
0,0,1,0,0,0,0,0,0,0,0,0,70,1,0,833,0,147,10622.16,-37.2738,142.497
1,0,1,0,0,0,0,0,0,0,0,0,60,1,0,801,0,147,6681.62,-37.2739,142.4954
1,0,1,0,0,0,0,0,0,0,0,0,50,1,0,784,0,147,6922.16,-37.2739,142.4944
0,0,1,0,0,1,0,0,0,0,0,0,0,1,1.68,764,0,149,10364.01,-37.1846,142.4145
0,0,1,0,0,1,0,0,0,0,0,0,0,1,2.84,762,0,149,10768.69,-37.184,142.4142
0,0,0,0,0,1,0,0,0,0,0,1,0,1,3.8,762,0,149,10883.29,-37.1835,142.414
0,0,1,0,0,1,0,0,0,0,0,0,0,1,3.95,761,0,149,10689.72,-37.1829,142.4141
0,0,0,1,0,0,0,0,0,0,1,1,0,1,3.98,761,0,149,10259.81,-37.1823,142.4138
0,0,0,0,0,0,0,1,0,0,1,0,0,0,3.98,760,0,149,10535.03,-37.1817,142.4132
0,0,0,0,0,1,0,1,0,0,1,0,0,0,3.97,760,0,149,10504.89,-37.1814,142.4127
0,0,1,0,0,0,0,0,0,0,1,0,0,1,3.98,759,0,149,10198.14,-37.1812,142.4127
0,0,0,1,0,0,0,1,0,0,1,0,0,1,3.99,759,0,149,9105.58,-37.1803,142.4125
0,0,0,1,0,1,0,0,0,0,1,0,0,1,3.99,759,0,149,10249.67,-37.1798,142.4122
0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.74,754,0,148,1389.36,-37.2089,142.4276
0,0,0,1,0,0,0,0,0,0,0,1,0,0,2.68,752,0,148,1503.21,-37.2094,142.4266
0,0,0,1,0,0,0,0,0,0,0,1,0,0,2.74,752,0,148,1403.89,-37.2097,142.4267
0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.71,751,0,148,1532.52,-37.2092,142.4261
0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.95,749,0,148,1499.69,-37.2089,142.4246
0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.94,748,0,148,1400.4,-37.2089,142.4241
0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.89,747,0,148,1415.61,-37.209,142.4237
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.56,748,0,148,1321.65,-37.2086,142.4232
0,0,0,0,0,0,0,0,0,0,0,1,0,1,5.99,716,0,146,1511.18,-37.2572,142.4237
0,0,0,0,0,0,0,0,0,0,0,1,0,1,5.99,715,0,146,1820.02,-37.2574,142.4231
0,0,0,0,0,0,0,0,0,0,0,1,0,1,5.99,715,0,146,2492.28,-37.2581,142.4223
0,0,0,1,0,0,0,0,0,0,0,1,0,1,5.99,714,0,146,3260.15,-37.2586,142.4211
0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.99,713,0,146,3441.88,-37.259,142.4205
0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.99,713,1,146,2360.92,-37.2592,142.4197
0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.99,713,1,146,3861.39,-37.2591,142.4186
0,0,0,0,0,0,1,1,0,0,0,1,0,1,3.53,735,0,147,1415.06,-37.2531,142.4607
0,0,0,0,0,0,1,0,0,0,0,1,0,1,3.55,735,0,147,1407.89,-37.2533,142.4604
0,0,0,0,0,1,1,0,0,0,0,0,0,1,3.55,735,0,147,1407.89,-37.2533,142.4604
0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.52,734,0,147,1400.58,-37.2536,142.4593
0,0,0,0,0,0,1,1,0,0,0,0,0,1,3.53,735,0,147,2243.61,-37.2536,142.4619
0,0,0,0,0,0,0,1,0,0,0,0,0,1,3.53,735,0,147,6287.91,-37.254,142.4619
0,0,0,0,0,0,0,1,0,0,0,1,0,1,3.52,735,0,147,7127.33,-37.2543,142.462
0,0,0,0,0,0,1,0,0,0,0,1,0,1,3.49,735,0,147,6834.61,-37.2547,142.4621
0,0,0,0,0,0,0,1,0,0,0,1,0,1,3.48,735,0,147,4359.98,-37.2537,142.4624
0,0,0,0,0,0,1,1,0,0,0,0,0,1,3.43,736,0,147,2702.88,-37.2535,142.4627
0,0,0,0,0,0,1,1,0,0,0,1,0,1,3.41,736,0,147,4264.21,-37.2537,142.4632
0,0,0,0,0,0,1,0,0,0,0,1,0,1,2.91,736,0,147,4227.16,-37.2536,142.4637
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0.61,751,0,145,5060.47,-37.3285,142.5191
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,752,0,145,5016.21,-37.3286,142.5195
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,752,0,145,3161.26,-37.3288,142.5199
0,0,0,0,0,0,0,0,1,0,0,1,0,1,1.6,753,0,145,3216.84,-37.329,142.5204
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0.56,753,0,145,6344.6,-37.3292,142.5208
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,755,0,145,7156.45,-37.3293,142.5213
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,756,0,145,4805.37,-37.3296,142.5216
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,756,0,145,4263.51,-37.3298,142.5219
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,757,0,145,4427.48,-37.3299,142.5224
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,757,0,145,4655.32,-37.3299,142.5227
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,758,0,145,3798.15,-37.33,142.523
0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,758,0,145,2355.52,-37.3302,142.5233
0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,759,0,145,1415.34,-37.3303,142.5237
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,759,1,145,8183.12,-37.3304,142.5242
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,764,1,145,7619.39,-37.3307,142.5247
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.56,748,1,145,6210.64,-37.3281,142.5183
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.57,748,1,145,6533.1,-37.328,142.518
0,0,0,0,0,0,1,0,1,0,0,1,0,0,1.88,747,1,145,2859.03,-37.3279,142.5177
0,0,1,0,0,0,1,0,1,0,0,1,0,0,1.88,747,0,145,2859.03,-37.3279,142.5177
0,0,1,0,0,0,1,0,0,0,0,1,0,0,1.86,748,0,145,1328.66,-37.3276,142.5169
0,0,1,0,0,0,1,0,1,0,0,0,0,1,0.54,751,0,145,1413.24,-37.3273,142.5166
0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.54,751,0,145,1413.24,-37.3273,142.5166
0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.8,785,1,149,9972.7,-37.1973,142.5417
0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.87,785,1,149,10543.73,-37.1976,142.5413
0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.79,785,1,149,10882.33,-37.1979,142.541
0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.79,785,1,149,10882.33,-37.1979,142.541
0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.79,785,0,149,10882.33,-37.1979,142.541
0,1,0,0,1,0,0,0,0,0,0,0,90,1,0,630,0,157,2140.86,-36.926,142.4257
0,1,0,0,1,0,0,0,0,0,0,0,85,1,0,620,0,157,5148.32,-36.9261,142.4263
1,1,0,0,1,0,0,0,0,0,0,0,80,1,0,610,0,157,1079.62,-36.9256,142.4262
0,1,0,0,1,0,0,0,0,0,0,0,75,1,1.95,602,0,157,1903.48,-36.9254,142.4266
1,1,0,0,1,0,0,0,0,0,0,0,65,1,0.87,598,0,157,6808.33,-36.925,142.4272
0,1,0,0,1,0,0,0,0,0,0,0,80,1,0,596,0,157,7234.22,-36.9246,142.4277
0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,596,0,157,7234.22,-36.9246,142.4277
0,1,0,0,1,0,0,0,0,0,0,0,90,1,0,745,0,155,2015.51,-37.014,142.4855
1,1,0,0,0,0,0,0,0,0,0,0,80,1,0,743,0,155,3285.47,-37.0137,142.4852
0,1,0,0,1,0,0,0,0,0,0,0,90,1,0,731,0,155,1709.08,-37.0134,142.4852
0,1,0,0,1,0,0,0,0,0,0,0,95,1,0,726,0,155,1248.52,-37.0134,142.4858
0,1,0,0,1,0,0,0,0,0,0,0,80,1,0,719,0,155,558.48,-37.0132,142.4859
0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,719,0,155,558.48,-37.0132,142.4859
0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,770,0,148,3574.9,-37.2136,142.4346
0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.57,769,0,148,3636.22,-37.2136,142.4341
0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.58,767,0,148,3369.3,-37.2138,142.4338
0,0,1,0,0,1,0,0,0,0,0,1,0,1,0.58,767,0,148,3369.3,-37.2138,142.4338
0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,764,0,148,2686.68,-37.214,142.4329
0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,760,0,148,2701.2,-37.2145,142.4321
0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,756,0,148,1585.69,-37.2149,142.4315
0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,752,0,148,1415.11,-37.2154,142.4311
0,0,0,0,0,1,0,0,0,0,0,1,0,1,1.78,749,0,148,1414.89,-37.2161,142.4308
0,0,1,0,0,1,0,0,0,0,0,1,0,1,1.83,748,0,148,1407.11,-37.2164,142.4306
1,0,0,0,0,1,0,0,0,0,0,1,0,1,2.43,747,0,148,3644.37,-37.2173,142.4307
0,0,0,0,0,0,0,0,0,0,0,1,0,1,5.99,718,0,147,1940.75,-37.2319,142.4053
0,0,0,0,0,0,0,0,0,0,0,1,0,1,5.99,718,0,147,2292.22,-37.232,142.4058
0,0,0,0,0,0,0,0,0,0,0,1,0,1,5.99,719,0,147,2802.24,-37.2322,142.4066
0,0,0,0,0,0,0,1,0,0,0,1,0,1,5.98,719,0,147,3100.64,-37.2324,142.4075
0,0,0,1,0,0,0,0,0,0,0,1,0,1,5.98,720,0,147,3023.72,-37.2324,142.4083
0,0,0,1,0,0,0,1,0,0,1,1,0,1,5.98,720,0,147,3023.72,-37.2324,142.4083
1,0,0,0,0,1,0,0,0,0,0,0,80,1,0,763,0,145,8766.13,-37.3102,142.3772
1,0,0,0,0,0,0,0,0,0,0,0,95,1,0,757,0,145,10881.86,-37.31,142.3766
1,0,0,0,0,0,0,0,0,0,0,0,80,1,0,757,0,145,10881.86,-37.31,142.3766
1,0,0,0,0,0,0,0,0,0,0,0,80,1,0,746,0,145,10710.72,-37.3096,142.3756
1,0,0,0,0,0,0,0,0,0,0,0,70,1,0,743,0,145,10664.66,-37.3096,142.375
1,0,0,0,0,0,0,0,0,0,0,0,40,1,0,743,0,145,10664.66,-37.3096,142.375
1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,743,0,145,10664.66,-37.3096,142.375
1,0,0,0,0,1,0,0,0,0,0,0,40,0,0,724,0,145,9985.54,-37.3091,142.3737
1,0,0,0,0,1,1,0,0,0,0,0,10,0,0,718,0,145,9306.32,-37.3089,142.3733
0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,712,0,145,8925,-37.3087,142.3724
0,0,0,0,0,0,1,0,1,0,0,1,20,1,0.71,706,0,144,9052.52,-37.3085,142.3715
1,0,0,0,0,0,0,0,1,0,0,1,0,1,0.71,706,0,144,9052.52,-37.3085,142.3715
0,0,0,0,0,0,1,0,1,0,0,1,30,1,2.94,705,0,144,8213.14,-37.308,142.3709
0,0,0,1,0,1,0,0,0,0,0,0,0,1,2.63,746,0,148,1366.39,-37.2045,142.4164
0,0,0,1,0,1,0,0,0,0,0,0,0,0,2.78,748,0,148,1419.21,-37.2043,142.4173
0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.52,747,0,148,1693.49,-37.2054,142.4178
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.56,746,0,148,1649.89,-37.2058,142.4179
0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.44,747,0,148,2073.85,-37.2065,142.4185
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,709,0,145,2560.34,-37.3019,142.3964
0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.6,710,0,145,2979.4,-37.3016,142.3967
0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,713,0,145,3076.3,-37.301,142.3972
0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,715,0,145,5112.78,-37.3009,142.3978
0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,715,0,145,5348.04,-37.3006,142.3976
0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,715,0,145,4663.48,-37.3002,142.3977
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.83,713,0,145,3963.68,-37.2998,142.3972
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,714,0,145,4514.35,-37.2992,142.3972
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.44,772,0,149,2236.5,-37.21,142.5445
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,775,1,149,2053.43,-37.2098,142.5438
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,776,1,149,2110.3,-37.2096,142.5436
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,782,1,149,2494.52,-37.2089,142.5432
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,786,1,149,3347.92,-37.2086,142.5425
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,795,0,149,5090.43,-37.2079,142.5417
1,0,1,0,0,0,0,0,0,0,0,0,10,0,0,801,0,149,5118.33,-37.2072,142.5411
0,0,0,0,0,0,0,0,0,1,0,0,95,1,0,1157,0,147,514.27,-37.2931,142.3304
0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,732,0,149,1887.33,-37.17,142.3723
0,0,0,0,0,1,0,0,0,0,0,1,0,1,1.62,730,0,149,2580.57,-37.1701,142.3715
0,0,0,0,0,1,0,0,0,0,0,0,0,1,1.89,729,0,149,1382.58,-37.17,142.3709
0,0,0,0,0,1,0,0,0,0,0,1,0,1,1.76,729,0,149,1378.64,-37.1699,142.3703
0,0,0,0,0,1,0,0,0,0,0,1,0,1,1.44,727,0,149,1407.88,-37.1701,142.3696
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,777,0,148,5647.52,-37.2582,142.5355
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,780,0,148,6915.61,-37.2577,142.5347
0,0,0,0,0,0,1,0,0,0,1,0,5,0,0,783,0,148,6492.45,-37.2578,142.5341
1,0,1,0,0,0,1,0,0,0,0,0,10,0,0,785,0,148,5094.13,-37.2578,142.5337
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,786,0,148,4538.7,-37.2583,142.5334
1,0,1,0,0,0,1,0,0,0,1,0,45,0,0,790,0,148,4019.66,-37.2587,142.5326
0,0,0,0,1,0,0,0,0,0,0,0,95,1,0,666,0,158,193.78,-36.8855,142.3688
0,0,0,0,1,0,0,0,0,0,0,0,85,1,0,661,0,158,215.38,-36.8852,142.369
0,1,0,0,1,0,0,0,0,0,0,0,95,1,0,631,0,158,218.14,-36.8846,142.3695
0,0,0,0,1,0,0,0,0,0,0,0,95,1,0,610,0,158,548.92,-36.8845,142.3701
0,0,0,0,1,0,0,0,0,0,0,0,90,1,0,607,0,158,431.72,-36.8847,142.3708
0,1,0,0,1,0,0,0,0,0,0,0,85,1,0,612,0,158,688.77,-36.8848,142.3716
0,0,0,0,1,0,0,0,0,0,0,0,20,1,0,622,0,158,167.31,-36.8852,142.3722
0,1,0,0,1,0,0,0,0,0,0,0,10,1,0,630,0,158,319.18,-36.8858,142.3726
0,1,0,0,1,0,0,0,0,0,0,0,15,1,0,614,0,158,593.22,-36.8864,142.3731
0,1,0,0,1,0,0,0,0,0,0,0,10,1,0,602,0,158,1974.35,-36.8872,142.373
0,1,0,0,0,0,0,0,0,0,0,0,10,1,1.69,595,0,158,1388.31,-36.8883,142.3734
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,598,0,158,1626.6,-36.8892,142.3729
0,0,1,0,0,0,0,1,1,0,0,0,10,0,0.61,728,0,144,1323.21,-37.3475,142.5022
